time	ind	trt	A	B	total
24h	A	DNR	75.25	82.65	79
24h	A	DOX	47.02	25.24	36.1
24h	A	EPI	24.34	27.06	25.7
24h	A	MTX	77.04	67.82	72.4
24h	A	TRZ	1.51	7.28	4.4
24h	A	VEH	2.72	1.12	1.9
3h	A	DNR	87.69	59.87	73.8
3h	A	DOX	39.73	61.5	50.6
3h	A	EPI	11.56	29.36	20.5
3h	A	MTX	93.79	96.6	95.2
3h	A	TRZ	2.31	0.48	1.4
3h	A	VEH	2.69	0.85	1.8
24h	B	DNR	88.98	80.41	84.7
24h	B	DOX	60.8	55.5	58.1
24h	B	EPI	42.12	40.14	41.1
24h	B	MTX	4.81	6.59	5.7
24h	B	TRZ	0.69	0.83	0.8
24h	B	VEH	3.09	1.29	2.2
3h	B	DNR	96.34	89.51	92.9
3h	B	DOX	36.59	25.37	31
3h	B	EPI	54.45	32.3	43.4
3h	B	MTX	94.08	93.35	93.7
3h	B	TRZ	2.7	1.55	2.1
3h	B	VEH	1.63	1.12	1.4
24h	C	DNR	27.7	57.65	42.7
24h	C	DOX	12.74	15.29	14
24h	C	EPI	31.71	12.5	22.1
24h	C	MTX	24.41	24.85	24.6
24h	C	TRZ	1.33	0.74	1
24h	C	VEH	1.67	2.35	2
3h	C	DNR	91.3	94.28	92.8
3h	C	DOX	87.5	55.71	71.6
3h	C	EPI	46.33	42.45	44.4
3h	C	MTX	94.08	74.42	84.2
3h	C	TRZ	4	0.5	2.2
3h	C	VEH	4.57	4.88	4.7
24h	D	DNR	60.25	65.51	62.9
24h	D	DOX	15.18	16.15	15.7
24h	D	EPI	11.26	12.79	12
24h	D	MTX	5.6	6.39	6
24h	D	TRZ	0.19	1.4	0.8
24h	D	VEH	1.61	1.44	1.5
3h	D	DNR	46.11	77.53	61.8
3h	D	DOX	92.12	80	86.1
3h	D	EPI	81.92	71.89	76.9
3h	D	MTX	93.1	80.22	86.7
3h	D	TRZ	1.24	0.41	0.8
3h	D	VEH	0.59	0	0.3
