"","indv","sample","counts_in_peaks","dedup_reads","FRiP_1"
"1","Ind1","75DA24h",14376612,42171858,34.0905349723979
"2","Ind1","75DA3h",9300379,34375528,27.0552324316299
"3","Ind1","75DX24h",15691028,39698738,39.5252564451797
"4","Ind1","75DX3h",10707177,35305350,30.3273498209195
"5","Ind1","75E24h",16782932,38466006,43.6305552492245
"6","Ind1","75E3h",8585364,28499906,30.1241835674826
"7","Ind1","75M24h",12469627,39199816,31.8104222734107
"8","Ind1","75M3h",5597352,27750384,20.1703587236847
"9","Ind1","75T24h",11461589,26761992,42.8278619917381
"10","Ind1","75T3h",7490988,25078330,29.8703621812138
"11","Ind1","75V24h",15940061,35969854,44.3150561578593
"12","Ind1","75V3h",3048840,19004626,16.0426203599061
