"","indv","trt","time","c_muscle_counts"
"1","1","DNR","24h",8691543
"2","1","DNR","3h",6834208
"3","1","DOX","24h",10849462
"4","1","DOX","3h",7816145
"5","1","EPI","24h",11407348
"6","1","EPI","3h",6428266
"7","1","MTX","24h",9422514
"8","1","MTX","3h",4850242
"9","1","TRZ","24h",8498849
"10","1","TRZ","3h",6077747
"11","1","VEH","24h",11566680
"12","1","VEH","3h",3125150
"13","2","DNR","24h",6846180
"14","2","DNR","3h",7071896
"15","2","DOX","24h",5932290
"16","2","DOX","3h",6310385
"17","2","EPI","24h",4951261
"18","2","EPI","3h",6864118
"19","2","MTX","24h",6955288
"20","2","MTX","3h",10821586
"21","2","TRZ","24h",6546667
"22","2","TRZ","3h",6419989
"23","2","VEH","24h",6031732
"24","2","VEH","3h",6060336
"25","3","DNR","24h",4835890
"26","3","DNR","3h",6297973
"27","3","DOX","24h",4389815
"28","3","DOX","3h",3482173
"29","3","EPI","24h",4472238
"30","3","EPI","3h",3863897
"31","3","MTX","24h",4155866
"32","3","MTX","3h",5927237
"33","3","TRZ","24h",3715275
"34","3","TRZ","3h",3762581
"35","3","VEH","24h",2035408
"36","3","VEH","3h",2894314
"37","4","DNR","24h",2290243
"38","4","DNR","3h",4112126
"39","4","DOX","24h",2512329
"40","4","DOX","3h",2426139
"41","4","EPI","24h",2220600
"42","4","EPI","3h",2931922
"43","4","MTX","24h",1411156
"44","4","MTX","3h",1495494
"45","4","TRZ","24h",895625
"46","4","TRZ","3h",2159606
"47","4","VEH","24h",1263059
"48","4","VEH","3h",1571942
"49","5","DNR","24h",1410055
"50","5","DNR","3h",2859152
"51","5","DOX","24h",1836974
"52","5","DOX","3h",2428469
"53","5","EPI","24h",1873850
"54","5","EPI","3h",2624167
"55","5","MTX","24h",1504509
"56","5","MTX","3h",4282871
"57","5","TRZ","24h",1203278
"58","5","TRZ","3h",1606260
"59","5","VEH","24h",1358401
"60","5","VEH","3h",1189495
"61","6","DNR","24h",6628978
"62","6","DNR","3h",3764748
"63","6","DOX","24h",4893052
"64","6","DOX","3h",3287791
"65","6","EPI","24h",4580432
"66","6","EPI","3h",3282423
"67","6","MTX","24h",3255462
"68","6","MTX","3h",5061280
"69","6","TRZ","24h",3206494
"70","6","TRZ","3h",2565748
"71","6","VEH","24h",4294812
"72","6","VEH","3h",3827407
