"","indv","trt","time","cm_counts"
"1","1","DNR","24h",6942081
"2","1","DNR","3h",6131008
"3","1","DOX","24h",8579311
"4","1","DOX","3h",6950629
"5","1","EPI","24h",8838375
"6","1","EPI","3h",5643826
"7","1","MTX","24h",8017388
"8","1","MTX","3h",4202005
"9","1","TRZ","24h",8249473
"10","1","TRZ","3h",5501445
"11","1","VEH","24h",11107873
"12","1","VEH","3h",2757559
"13","2","DNR","24h",5867752
"14","2","DNR","3h",6824911
"15","2","DOX","24h",5156658
"16","2","DOX","3h",6059835
"17","2","EPI","24h",4544284
"18","2","EPI","3h",6619095
"19","2","MTX","24h",6593451
"20","2","MTX","3h",10842685
"21","2","TRZ","24h",6970519
"22","2","TRZ","3h",6413225
"23","2","VEH","24h",6712003
"24","2","VEH","3h",5971847
"25","3","DNR","24h",3860336
"26","3","DNR","3h",6250448
"27","3","DOX","24h",3541415
"28","3","DOX","3h",3363048
"29","3","EPI","24h",3544964
"30","3","EPI","3h",3693315
"31","3","MTX","24h",3785620
"32","3","MTX","3h",5812528
"33","3","TRZ","24h",3819924
"34","3","TRZ","3h",3749787
"35","3","VEH","24h",2074506
"36","3","VEH","3h",2722248
"37","4","DNR","24h",1744775
"38","4","DNR","3h",3623639
"39","4","DOX","24h",1973507
"40","4","DOX","3h",2187545
"41","4","EPI","24h",1678052
"42","4","EPI","3h",2666253
"43","4","MTX","24h",1225600
"44","4","MTX","3h",1379064
"45","4","TRZ","24h",850815
"46","4","TRZ","3h",1888286
"47","4","VEH","24h",1209118
"48","4","VEH","3h",1343544
"49","5","DNR","24h",1316342
"50","5","DNR","3h",2960487
"51","5","DOX","24h",1729169
"52","5","DOX","3h",2479094
"53","5","EPI","24h",1779265
"54","5","EPI","3h",2747953
"55","5","MTX","24h",1295251
"56","5","MTX","3h",4614916
"57","5","TRZ","24h",1207889
"58","5","TRZ","3h",1727762
"59","5","VEH","24h",1451843
"60","5","VEH","3h",1207154
"61","6","DNR","24h",5256701
"62","6","DNR","3h",3627149
"63","6","DOX","24h",4462739
"64","6","DOX","3h",3262359
"65","6","EPI","24h",4053796
"66","6","EPI","3h",3195512
"67","6","MTX","24h",2815251
"68","6","MTX","3h",5160214
"69","6","TRZ","24h",3318394
"70","6","TRZ","3h",2569798
"71","6","VEH","24h",4502195
"72","6","VEH","3h",3967074
