"","indv","trt","time","embryo_counts"
"1","1","DNR","24h",4976630
"2","1","DNR","3h",4511608
"3","1","DOX","24h",6321872
"4","1","DOX","3h",5199881
"5","1","EPI","24h",6528308
"6","1","EPI","3h",4212949
"7","1","MTX","24h",5951040
"8","1","MTX","3h",3103208
"9","1","TRZ","24h",6359623
"10","1","TRZ","3h",4203311
"11","1","VEH","24h",8611507
"12","1","VEH","3h",2071568
"13","2","DNR","24h",4393037
"14","2","DNR","3h",5047150
"15","2","DOX","24h",3767963
"16","2","DOX","3h",4579689
"17","2","EPI","24h",3216799
"18","2","EPI","3h",4925840
"19","2","MTX","24h",5001523
"20","2","MTX","3h",8059885
"21","2","TRZ","24h",5597084
"22","2","TRZ","3h",5013493
"23","2","VEH","24h",5310984
"24","2","VEH","3h",4650239
"25","3","DNR","24h",2884256
"26","3","DNR","3h",4761006
"27","3","DOX","24h",2629412
"28","3","DOX","3h",2594798
"29","3","EPI","24h",2610926
"30","3","EPI","3h",2790993
"31","3","MTX","24h",2802060
"32","3","MTX","3h",4436338
"33","3","TRZ","24h",2989764
"34","3","TRZ","3h",2975372
"35","3","VEH","24h",1598388
"36","3","VEH","3h",2105900
"37","4","DNR","24h",1263353
"38","4","DNR","3h",2687790
"39","4","DOX","24h",1487176
"40","4","DOX","3h",1632874
"41","4","EPI","24h",1254997
"42","4","EPI","3h",2009114
"43","4","MTX","24h",947704
"44","4","MTX","3h",1039447
"45","4","TRZ","24h",661340
"46","4","TRZ","3h",1400165
"47","4","VEH","24h",948656
"48","4","VEH","3h",961430
"49","5","DNR","24h",893649
"50","5","DNR","3h",2160220
"51","5","DOX","24h",1233396
"52","5","DOX","3h",1838964
"53","5","EPI","24h",1231885
"54","5","EPI","3h",2037611
"55","5","MTX","24h",859734
"56","5","MTX","3h",3425397
"57","5","TRZ","24h",910049
"58","5","TRZ","3h",1335947
"59","5","VEH","24h",1125493
"60","5","VEH","3h",903399
"61","6","DNR","24h",3900150
"62","6","DNR","3h",2714422
"63","6","DOX","24h",3401355
"64","6","DOX","3h",2482624
"65","6","EPI","24h",3085048
"66","6","EPI","3h",2409088
"67","6","MTX","24h",2096245
"68","6","MTX","3h",3925902
"69","6","TRZ","24h",2591574
"70","6","TRZ","3h",1975452
"71","6","VEH","24h",3511722
"72","6","VEH","3h",3090173
