"","counts","sample"
"1",187744,"trimmed_Ind1_75DA24h_S7_peaks.narrowPeak"
"2",112454,"trimmed_Ind1_75DA3h_S1_peaks.narrowPeak"
"3",169177,"trimmed_Ind1_75DX24h_S8_peaks.narrowPeak"
"4",131539,"trimmed_Ind1_75DX3h_S2_peaks.narrowPeak"
"5",172141,"trimmed_Ind1_75E24h_S9_peaks.narrowPeak"
"6",110510,"trimmed_Ind1_75E3h_S3_peaks.narrowPeak"
"7",157768,"trimmed_Ind1_75M24h_S10_peaks.narrowPeak"
"8",92960,"trimmed_Ind1_75M3h_S4_peaks.narrowPeak"
"9",128137,"trimmed_Ind1_75T24h_S11_peaks.narrowPeak"
"10",103128,"trimmed_Ind1_75T3h_S5_peaks.narrowPeak"
"11",159804,"trimmed_Ind1_75V24h_S12_peaks.narrowPeak"
"12",63699,"trimmed_Ind1_75V3h_S6_peaks.narrowPeak"
"13",1589061,"total"
"14",94026,"trimmed_Ind2_87DA24h_S7_peaks.narrowPeak"
"15",89395,"trimmed_Ind2_87DA3h_S1_peaks.narrowPeak"
"16",74597,"trimmed_Ind2_87DX24h_S8_peaks.narrowPeak"
"17",80013,"trimmed_Ind2_87DX3h_S2_peaks.narrowPeak"
"18",73957,"trimmed_Ind2_87E24h_S9_peaks.narrowPeak"
"19",89703,"trimmed_Ind2_87E3h_S3_peaks.narrowPeak"
"20",90707,"trimmed_Ind2_87M24h_S10_peaks.narrowPeak"
"21",121578,"trimmed_Ind2_87M3h_S4_peaks.narrowPeak"
"22",85707,"trimmed_Ind2_87T24h_S11_peaks.narrowPeak"
"23",91323,"trimmed_Ind2_87T3h_S5_peaks.narrowPeak"
"24",87201,"trimmed_Ind2_87V24h_S12_peaks.narrowPeak"
"25",72915,"trimmed_Ind2_87V3h_S6_peaks.narrowPeak"
"26",1051122,"total"
"27",90274,"trimmed_Ind3_77DA24h_S7_peaks.narrowPeak"
"28",62359,"trimmed_Ind3_77DA3h_S1_peaks.narrowPeak"
"29",80917,"trimmed_Ind3_77DX24h_S8_peaks.narrowPeak"
"30",46310,"trimmed_Ind3_77DX3h_S2_peaks.narrowPeak"
"31",82907,"trimmed_Ind3_77E24h_S9_peaks.narrowPeak"
"32",49387,"trimmed_Ind3_77E3h_S3_peaks.narrowPeak"
"33",68046,"trimmed_Ind3_77M24h_S10_peaks.narrowPeak"
"34",69076,"trimmed_Ind3_77M3h_S4_peaks.narrowPeak"
"35",63597,"trimmed_Ind3_77T24h_S11_peaks.narrowPeak"
"36",56165,"trimmed_Ind3_77T3h_S5_peaks.narrowPeak"
"37",50052,"trimmed_Ind3_77V24h_S12_peaks.narrowPeak"
"38",35810,"trimmed_Ind3_77V3h_S6_peaks.narrowPeak"
"39",754900,"total"
"40",50676,"trimmed_Ind4_79DA24h_S7_peaks.narrowPeak"
"41",65783,"trimmed_Ind4_79DA3h_S1_peaks.narrowPeak"
"42",67124,"trimmed_Ind4_79DX24h_S8_peaks.narrowPeak"
"43",39129,"trimmed_Ind4_79DX3h_S2_peaks.narrowPeak"
"44",61862,"trimmed_Ind4_79E24h_S9_peaks.narrowPeak"
"45",47911,"trimmed_Ind4_79E3h_S3_peaks.narrowPeak"
"46",24155,"trimmed_Ind4_79M24h_S10_peaks.narrowPeak"
"47",24861,"trimmed_Ind4_79M3h_S4_peaks.narrowPeak"
"48",14875,"trimmed_Ind4_79T24h_S11_peaks.narrowPeak"
"49",26352,"trimmed_Ind4_79T3h_S5_peaks.narrowPeak"
"50",21516,"trimmed_Ind4_79V24h_S12_peaks.narrowPeak"
"51",16236,"trimmed_Ind4_79V3h_S6_peaks.narrowPeak"
"52",460480,"total"
"53",34166,"trimmed_Ind5_78DA24h_S7_peaks.narrowPeak"
"54",55139,"trimmed_Ind5_78DA3h_S1_peaks.narrowPeak"
"55",40178,"trimmed_Ind5_78DX24h_S8_peaks.narrowPeak"
"56",48541,"trimmed_Ind5_78DX3h_S2_peaks.narrowPeak"
"57",41783,"trimmed_Ind5_78E24h_S9_peaks.narrowPeak"
"58",50183,"trimmed_Ind5_78E3h_S3_peaks.narrowPeak"
"59",21559,"trimmed_Ind5_78M24h_S10_peaks.narrowPeak"
"60",68873,"trimmed_Ind5_78M3h_S4_peaks.narrowPeak"
"61",21897,"trimmed_Ind5_78T24h_S11_peaks.narrowPeak"
"62",40150,"trimmed_Ind5_78T3h_S5_peaks.narrowPeak"
"63",35965,"trimmed_Ind5_78V24h_S12_peaks.narrowPeak"
"64",33141,"trimmed_Ind5_78V3h_S6_peaks.narrowPeak"
"65",491575,"total"
"66",127143,"trimmed_Ind6_71DA24h_S7_peaks.narrowPeak"
"67",61228,"trimmed_Ind6_71DA3h_S1_peaks.narrowPeak"
"68",97698,"trimmed_Ind6_71DX24h_S8_peaks.narrowPeak"
"69",66504,"trimmed_Ind6_71DX3h_S2_peaks.narrowPeak"
"70",91047,"trimmed_Ind6_71E24h_S9_peaks.narrowPeak"
"71",68688,"trimmed_Ind6_71E3h_S3_peaks.narrowPeak"
"72",66985,"trimmed_Ind6_71M24h_S10_peaks.narrowPeak"
"73",94033,"trimmed_Ind6_71M3h_S4_peaks.narrowPeak"
"74",62149,"trimmed_Ind6_71T24h_S11_peaks.narrowPeak"
"75",52209,"trimmed_Ind6_71T3h_S5_peaks.narrowPeak"
"76",84331,"trimmed_Ind6_71V24h_S12_peaks.narrowPeak"
"77",73567,"trimmed_Ind6_71V3h_S6_peaks.narrowPeak"
"78",945582,"total"
