"","x"
"1","NR_047526.1"
"2","NR_047519.1"
"3","NR_047521.1"
"4","NR_047523.1"
"5","NR_047524.1"
"6","NR_047525.1"
"7","NM_001385640.1"
"8","NM_001385641.1"
"9","NM_152486.4"
"10","NM_015658.4"
"11","NM_198317.3"
"12","XM_006710600.4"
"13","XM_006710601.4"
"14","XM_047419226.1"
"15","XM_047419224.1"
"16","XM_047419225.1"
"17","NM_001142467.2"
"18","NM_001410700.1"
"19","NM_021170.4"
"20","XM_047426314.1"
"21","XM_047426320.1"
"22","NM_005101.4"
"23","NM_001305275.2"
"24","NM_198576.4"
"25","XM_005244749.4"
"26","XM_011541429.3"
"27","XM_047419836.1"
"28","NM_001364727.2"
"29","XM_047419838.1"
"30","XM_047419837.1"
"31","NM_001330306.2"
"32","NM_001363525.2"
"33","NM_017891.5"
"34","NM_016176.6"
"35","NM_016547.3"
"36","XM_047422111.1"
"37","XM_047422112.1"
"38","XM_011541556.2"
"39","NM_080605.4"
"40","XM_017000239.3"
"41","XM_011540613.4"
"42","XM_047444326.1"
"43","XM_047444356.1"
"44","XM_047444358.1"
"45","NM_058167.3"
"46","NM_194315.2"
"47","NM_194457.2"
"48","NM_194458.2"
"49","XM_005244718.4"
"50","XM_005244719.5"
"51","XM_006710333.4"
"52","XM_011540614.3"
"53","XM_047444339.1"
"54","NM_001130413.4"
"55","NR_037668.3"
"56","XM_005244717.4"
"57","XM_011540607.2"
"58","XM_024452993.2"
"59","NM_030649.3"
"60","XM_005244715.3"
"61","XM_011540606.3"
"62","XM_011540608.3"
"63","XM_011540609.3"
"64","XM_005244720.5"
"65","XM_047444716.1"
"66","XM_047444722.1"
"67","NM_001346116.2"
"68","NM_153339.3"
"69","NR_144369.2"
"70","XM_024453057.2"
"71","XM_011541650.3"
"72","NM_001256456.2"
"73","NM_001256460.2"
"74","NM_001256462.2"
"75","NM_001256463.2"
"76","NM_017871.6"
"77","XM_011541647.2"
"78","XM_011541648.2"
"79","NM_001029885.2"
"80","XM_005244801.5"
"81","XM_011542200.3"
"82","XM_047448090.1"
