"","indv","trt","time","lv_counts"
"1","1","DNR","24h",5931434
"2","1","DNR","3h",4884694
"3","1","DOX","24h",6635739
"4","1","DOX","3h",5374374
"5","1","EPI","24h",6761677
"6","1","EPI","3h",4372672
"7","1","MTX","24h",6048813
"8","1","MTX","3h",3454867
"9","1","TRZ","24h",5854659
"10","1","TRZ","3h",4233106
"11","1","VEH","24h",8043302
"12","1","VEH","3h",2257221
"13","2","DNR","24h",4616725
"14","2","DNR","3h",5095931
"15","2","DOX","24h",4089088
"16","2","DOX","3h",4470996
"17","2","EPI","24h",3563515
"18","2","EPI","3h",5007430
"19","2","MTX","24h",4988717
"20","2","MTX","3h",7386693
"21","2","TRZ","24h",4925836
"22","2","TRZ","3h",4653615
"23","2","VEH","24h",4485755
"24","2","VEH","3h",4580665
"25","3","DNR","24h",3029833
"26","3","DNR","3h",4906513
"27","3","DOX","24h",2783407
"28","3","DOX","3h",2659732
"29","3","EPI","24h",2736107
"30","3","EPI","3h",3027004
"31","3","MTX","24h",2844859
"32","3","MTX","3h",4395456
"33","3","TRZ","24h",2780410
"34","3","TRZ","3h",2871930
"35","3","VEH","24h",1457971
"36","3","VEH","3h",2263177
"37","4","DNR","24h",1714315
"38","4","DNR","3h",3090630
"39","4","DOX","24h",1661978
"40","4","DOX","3h",1941331
"41","4","EPI","24h",1485991
"42","4","EPI","3h",2252867
"43","4","MTX","24h",1139944
"44","4","MTX","3h",1308380
"45","4","TRZ","24h",815176
"46","4","TRZ","3h",2036072
"47","4","VEH","24h",1099458
"48","4","VEH","3h",1587763
"49","5","DNR","24h",1319061
"50","5","DNR","3h",2415279
"51","5","DOX","24h",1480175
"52","5","DOX","3h",2001444
"53","5","EPI","24h",1561245
"54","5","EPI","3h",2107003
"55","5","MTX","24h",1389279
"56","5","MTX","3h",3220501
"57","5","TRZ","24h",1179922
"58","5","TRZ","3h",1313488
"59","5","VEH","24h",1156645
"60","5","VEH","3h",1054906
"61","6","DNR","24h",3775556
"62","6","DNR","3h",2837429
"63","6","DOX","24h",3063290
"64","6","DOX","3h",2409625
"65","6","EPI","24h",2791116
"66","6","EPI","3h",2553217
"67","6","MTX","24h",2334916
"68","6","MTX","3h",3499856
"69","6","TRZ","24h",2305812
"70","6","TRZ","3h",1992347
"71","6","VEH","24h",3081832
"72","6","VEH","3h",2746737
