"","ENTREZID","SYMBOL","NR_PROB","ESR_PROB","EAR_PROB","LR_PROB","DNR.3H.P.PRIOR","DOX.3H.P.PRIOR","EPI.3H.P.PRIOR","MTX.3H.P.PRIOR","TRZ.3H.P.PRIOR","DNR.24H.P.PRIOR","DOX.24H.P.PRIOR","EPI.24H.P.PRIOR","MTX.24H.P.PRIOR","TRZ.24H.P.PRIOR","MOTIF"
"1",90326,"THAP3",0.0066179488259768,0.00692842389863495,0.986428989543711,2.4637731677197e-05,0.993441616636734,0.964444890006441,0.992724179681515,0.987548367338745,0.024992611649082,0.0084419542920033,0.00749181973073532,0.00727021716571792,0.0117709241286648,0.0194272616820709,"EAR"
"2",473,"RERE",0.102693306638362,0.000844676665989089,0.896412386186578,4.96305090710415e-05,0.89705760809587,0.847961678999435,0.895914489964289,0.895438663489409,0.0235295385698462,0.00134397939590415,0.00113793136440284,0.00126743369457046,0.0103837126736579,0.0175106355899562,"EAR"
"3",6248,"RSC1A1",0.000785932303379979,0.219511921967915,0.7795652403329,0.000136905395804643,0.998879765150869,0.971671675908978,0.998903899034392,0.998470804430929,0.0305176072163213,0.22478296252633,0.221832524989802,0.21501689508158,0.119089242132344,0.0196493550105571,"EAR"
"4",54455,"FBXO42",0.0456461180322043,0.039939699029333,0.913362963159713,0.00105121977874979,0.953008177133722,0.942619579890716,0.953247391737378,0.921558814009786,0.0248036180558365,0.0458539549619112,0.0421869917288289,0.0398559353347766,0.011619630310998,0.0184862235316821,"EAR"
"5",7798,"LUZP1",0.0254343068109188,0.0502714490681489,0.923549409407766,0.000744834713166391,0.973721204978522,0.912450451523312,0.973513222745473,0.97005805138529,0.0267556652617661,0.0528825010294822,0.0530246583188947,0.0507868445260055,0.00743503014173695,0.0188940466413405,"EAR"
"6",55629,"PNRC2",0.00148290053163041,0.00116073897663072,0.997355366745617,9.93746121861657e-07,0.998605899351931,0.820863880983577,0.998260017731821,0.996670550290341,0.0263760835368799,0.00176931242041795,0.00140164256532939,0.00170057589905756,0.00385485006038199,0.0193607209113025,"EAR"
"7",27245,"AHDC1",4.63823963701806e-12,0.0297647466452319,0.970235253349947,1.83432395747523e-13,0.999999960315819,0.999873013555981,0.999999760494138,0.999981030695417,0.0250301120912724,0.0301870159822841,0.0313589269272441,0.0305443315526913,0.0329368785939647,0.0245708750025109,"EAR"
"8",6429,"SRSF4",0.397333933770419,0.00111897292022332,0.601148225527596,0.000398867781762256,0.606314700952689,0.563677834564693,0.602057614378265,0.544736510177734,0.0156586126346935,0.00182019071526402,0.00170255551083451,0.00202641335065382,0.00333823307429212,0.0122902285767009,"EAR"
"9",9698,"PUM1",0.011915253011527,0.00724998655588102,0.980788379323263,4.63811093286065e-05,0.987944131193209,0.933913211117866,0.987865409144727,0.983375525818088,0.0282045480022638,0.00952322214704957,0.00775866791463858,0.00746683377700048,0.0082328262917378,0.0192113652699787,"EAR"
"10",1912,"PHC2",0.00411177390520219,0.00277691518918163,0.993104165807645,7.14509797095727e-06,0.997095296394064,0.943956382008075,0.994505602358357,0.981654104049343,0.0254297837195341,0.0038296536235922,0.0031531169113637,0.00315689551971276,0.00810757021816769,0.0201201330997076,"EAR"
"11",7579,"ZSCAN20",0.00520853889238394,0.008851660674627,0.98591006366356,2.97367694290395e-05,0.994762078674101,0.984975761393413,0.994744303177659,0.914326241477951,0.0255055408159462,0.0102259159751447,0.00951706767526604,0.00901422674187835,0.0729961021934902,0.021292947231365,"EAR"
"12",79753,"SNIP1",9.15295606453501e-05,0.0625034950254679,0.937401461257773,3.51415611396244e-06,0.999887684954096,0.965630842364108,0.998563298206676,0.99984800603662,0.025639404527294,0.066592410109072,0.0626459116374506,0.0630589381362548,0.0171059507565045,0.0194929740685297,"EAR"
"13",4610,"MYCL",0.00645113331996899,0.00673083816066136,0.986795474741862,2.25537775075752e-05,0.993613412859335,0.97716284011426,0.993058230186631,0.979696737789467,0.0259992410736185,0.00777792204781098,0.00688005300759522,0.00819852754405984,0.00400097133991317,0.0197552142588309,"EAR"
"14",22887,"FOXJ3",0.183131604804595,0.00064353532724777,0.816151003632513,7.38562356446408e-05,0.816135330870871,0.768453203597091,0.818679758420319,0.786584490852909,0.0217438115999583,0.00112312674757057,0.000930736828001989,0.00104589751101163,0.00512183598864395,0.0160974896270143,"EAR"
"15",148932,"MOB3C",0.411663150317906,0.00338510185592949,0.583548781747903,0.00140296607826117,0.589539632331357,0.487597896340104,0.586887179655876,0.569710737582154,0.0166944592762688,0.00582625022019819,0.00493059422756049,0.00518380143655715,0.00784820217413207,0.0128722976738488,"EAR"
"16",65260,"COA7",0.000485582651485439,0.0549122860135852,0.944584547958174,1.75833767547191e-05,0.99963000287902,0.984317042774134,0.999268104625443,0.968748442916214,0.0252065576063906,0.0573503224341209,0.0547512589185017,0.0570968024482522,0.00912068786982572,0.0193320911858893,"EAR"
"17",5142,"PDE4B",0.00210913956957763,0.00235869712371936,0.995529674780143,2.48852656002468e-06,0.997828429492175,0.986782356964873,0.997502819793284,0.993394582990817,0.0310109334507067,0.00329708287306275,0.00256650241877052,0.0029792388381309,0.00412632176174373,0.0198882755330094,"EAR"
"18",1491,"CTH",0.000532178418490534,0.00423974436394545,0.995226855262615,1.22195494890558e-06,0.999517727561472,0.962270487915844,0.999008123818892,0.996596620122255,0.0258524773040962,0.00465581719220675,0.00560782218540941,0.00453604213397228,0.00399991141738315,0.0193978118424665,"EAR"
"19",3491,"CCN1",0.029528941563602,0.000720025973615279,0.969739672977756,1.13594850262328e-05,0.971512230958537,0.918008143567711,0.970149673972199,0.927011909846519,0.0252909133471348,0.00121093377722307,0.000984041606069488,0.00109488185400372,0.00418663989022043,0.0188024138282533,"EAR"
"20",84146,"ZNF644",0.367886443790355,0.00238578906382498,0.628912316302864,0.000815450842955917,0.635848105385648,0.516651725792797,0.631273448787858,0.600499374245812,0.016244080226734,0.00433860261441391,0.00330709534301607,0.00359414212337393,0.00422758119833775,0.013013489256357,"EAR"
"21",128346,"C1orf162",0.43747995337083,0.000908124519466101,0.561212136670405,0.000399785439298883,0.564327088336999,0.467247176304694,0.558924927974741,0.560718421091906,0.0145559560261595,0.00168594956928858,0.00145859114346885,0.0016700667112472,0.00668583475438415,0.01138526608035,"EAR"
"22",55917,"CTTNBP2NL",0.00147354796848176,0.223024857447743,0.775186241906419,0.000315352677355888,0.998741424007493,0.854953399676882,0.997961624023498,0.988861041139612,0.0258047737159767,0.234492609685961,0.224683874080961,0.218005698496404,0.0589549564479382,0.0193790948497676,"EAR"
"23",9860,"LRIG2",8.69564941421688e-06,0.00312175157612864,0.996869536376334,1.63981227874144e-08,0.999989750521416,0.936237193868149,0.999889841516211,0.999755825009913,0.0249928215638546,0.00360887643668043,0.00348625509615436,0.00407170902106578,0.00741713586192686,0.0196818377502732,"EAR"
"24",51592,"TRIM33",0.0398584726652029,0.00260623682724484,0.957477960907361,5.7329600191448e-05,0.95991831782546,0.861841878723017,0.959721374005414,0.957945547831158,0.0242744560344522,0.00308322270592253,0.00296765922507971,0.00372997030992379,0.00386530338786278,0.0186170706575711,"EAR"
