"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"1",23542,"ENSG00000008735","MAPK8IP2","ENST00000008876"
"2",11215,"ENSG00000023516","AKAP11","ENST00000025301"
"3",140876,"ENSG00000042062","RIPOR3","ENST00000045083"
"4",55173,"ENSG00000048544","MRPS10","ENST00000053468"
"5",27238,"ENSG00000068394","GPKOW","ENST00000156109"
"6",440,"ENSG00000070669","ASNS","ENST00000175506"
"7",9697,"ENSG00000065308","TRAM2","ENST00000182527"
"8",54887,"ENSG00000065060","BLTP3A","ENST00000192788"
"9",56131,"ENSG00000081818","PCDHB4","ENST00000194152"
"10",54437,"ENSG00000082684","SEMA5B","ENST00000195173"
"11",55659,"ENSG00000083817","ZNF416","ENST00000196489"
"12",81572,"ENSG00000088356","PDRG1","ENST00000202017"
"13",1947,"ENSG00000090776","EFNB1","ENST00000204961"
"14",10683,"ENSG00000090932","DLL3","ENST00000205143"
"15",28978,"ENSG00000096092","TMEM14A","ENST00000211314"
"16",7049,"ENSG00000069702","TGFBR3","ENST00000212355"
"17",9274,"ENSG00000099385","BCL7C","ENST00000215115"
"18",1943,"ENSG00000099617","EFNA2","ENST00000215368"
"19",255057,"ENSG00000099625","CBARP","ENST00000215376"
"20",4713,"ENSG00000099795","NDUFB7","ENST00000215565"
"21",50487,"ENSG00000100078","PLA2G3","ENST00000215885"
"22",57168,"ENSG00000128203","ASPHD2","ENST00000215906"
"23",23598,"ENSG00000100105","PATZ1","ENST00000215919"
"24",638,"ENSG00000100290","BIK","ENST00000216115"
"25",23551,"ENSG00000100302","RASD2","ENST00000216127"
"26",9889,"ENSG00000100426","ZBED4","ENST00000216268"
"27",6617,"ENSG00000023608","SNAPC1","ENST00000216294"
"28",283578,"ENSG00000100580","TMED8","ENST00000216468"
"29",161394,"ENSG00000100583","SAMD15","ENST00000216471"
"30",4605,"ENSG00000101057","MYBL2","ENST00000217026"
"31",81027,"ENSG00000101162","TUBB1","ENST00000217133"
"32",10732,"ENSG00000101190","TCFL5","ENST00000217162"
"33",6640,"ENSG00000101400","SNTA1","ENST00000217381"
"34",11264,"ENSG00000101417","PXMP4","ENST00000217398"
"35",128866,"ENSG00000101421","CHMP4B","ENST00000217402"
"36",57136,"ENSG00000101474","APMAP","ENST00000217456"
"37",25878,"ENSG00000101825","MXRA5","ENST00000217939"
