"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind1_75DA24h_S7_R1",9,161,673,112,636,136,310,247,732,2925,5341,6005,19103,143722,224904,288373,465862,1079577,2037700,2210057,2774071,2309164,2073212,2569178,0,"26339013.0"
"trimmed_Ind1_75DA24h_S7_R2",8,157,670,110,621,132,307,241,714,2852,5266,5932,18942,143006,223973,287119,463796,1075235,2030728,2202898,2766667,2304607,2069409,2563966,0,"26383867.0"
"trimmed_Ind1_75DA3h_S1_R1",25,281,479,87,626,220,1918,202,518,2134,4486,4396,9037,114321,196980,206765,369548,951402,2172055,2372818,2725850,2541624,2513938,2931887,0,"31108714.0"
"trimmed_Ind1_75DA3h_S1_R2",24,281,479,87,621,214,1914,190,513,2079,4402,4338,8931,113770,196208,206004,368068,947950,2165022,2366032,2719778,2537341,2509379,2924229,0,"31152457.0"
"trimmed_Ind1_75DX24h_S8_R1",26,203,561,99,548,145,949,206,587,2275,4688,4771,10870,141574,221751,251116,399510,977524,2034687,2165794,2806942,2367395,2207564,2629353,0,"27055328.0"
"trimmed_Ind1_75DX24h_S8_R2",25,201,558,98,534,142,945,194,572,2203,4558,4702,10711,140694,220581,249728,397304,972954,2026400,2157217,2798264,2360958,2202307,2622761,0,"27109855.0"
"trimmed_Ind1_75DX3h_S2_R1",42,314,663,105,490,206,1845,142,350,1926,3792,4333,8720,97531,173409,191754,337356,886619,2005269,2198895,2681566,2409013,2325921,2732955,0,"28417624.0"
"trimmed_Ind1_75DX3h_S2_R2",42,312,661,104,482,206,1843,140,344,1892,3731,4308,8630,97201,172849,191105,336152,883610,1999348,2192540,2676516,2405913,2323430,2727492,0,"28451989.0"
"trimmed_Ind1_75E24h_S9_R1",41,313,1645,252,915,278,1361,173,314,1551,3009,3119,9035,97982,164501,228965,419269,940345,1765381,1870107,2454155,2057067,1933253,2442583,0,"28362153.0"
"trimmed_Ind1_75E24h_S9_R2",38,310,1641,251,915,278,1352,168,307,1491,2941,3046,8927,97474,163689,227909,417334,936116,1758932,1863395,2447708,2052691,1929787,2436199,0,"28404868.0"
"trimmed_Ind1_75E3h_S3_R1",51,512,804,149,879,343,2563,85,223,785,1524,1926,4233,75914,124331,121520,244709,632827,1501535,1789731,1990925,1946705,1963847,2440693,0,"30578403.0"
"trimmed_Ind1_75E3h_S3_R2",49,513,796,148,873,343,2555,85,220,762,1486,1900,4200,75589,123911,121038,243722,630695,1497419,1784838,1988281,1946720,1964095,2430030,0,"30604949.0"
"trimmed_Ind1_75M24h_S10_R1",21,256,1146,296,984,242,917,261,904,3946,7478,8419,18965,112466,184310,259011,568080,1266406,2160986,2253526,2568697,2439267,2310341,2664360,0,"25295370.0"
