"","chr","start","end","length","abs_summit","pileup","-log10(pvalue)","fold_enrichment","-log10(qvalue)","name"
"1","chr1",10028,11062,1035,10195,60,50.32025,12.85397,46.46602,"Ind1_75DA24h_dedup_peak_1"
"2","chr1",17451,17611,161,17505,21,9.52018,4.42664,7.06369,"Ind1_75DA24h_dedup_peak_2"
"3","chr1",19233,19312,80,19261,15,5.35083,3.21938,3.21171,"Ind1_75DA24h_dedup_peak_3"
"4","chr1",24892,25033,142,24946,14,5.81555,3.56205,3.64403,"Ind1_75DA24h_dedup_peak_4"
"5","chr1",29011,29663,653,29321,38,31.46747,10.95313,28.13878,"Ind1_75DA24h_dedup_peak_5"
"6","chr1",38701,38775,75,38737,9,6.375,4.63215,4.14279,"Ind1_75DA24h_dedup_peak_6"
"7","chr1",40038,40196,159,40095,9,6.97543,5.01418,4.70626,"Ind1_75DA24h_dedup_peak_7"
"8","chr1",42170,42332,163,42295,20,21.7529,11.47624,18.74846,"Ind1_75DA24h_dedup_peak_8"
"9","chr1",53373,53481,109,53418,10,9.49672,6.41932,7.04127,"Ind1_75DA24h_dedup_peak_9"
"10","chr1",127786,127862,77,127792,6,4.99812,4.08502,2.88296,"Ind1_75DA24h_dedup_peak_10"
"11","chr1",136257,137273,1017,136654,45,35.51914,10.79899,32.06679,"Ind1_75DA24h_dedup_peak_11"
"12","chr1",151140,151236,97,151156,7,6.05234,4.6686,3.8397,"Ind1_75DA24h_dedup_peak_12"
"13","chr1",180755,181536,782,181431,46,33.40327,9.63816,30.01512,"Ind1_75DA24h_dedup_peak_13"
"14","chr1",181709,181917,209,181848,21,9.49785,4.41668,7.04226,"Ind1_75DA24h_dedup_peak_14"
"15","chr1",189360,189459,100,189409,15,5.99749,3.53586,3.81337,"Ind1_75DA24h_dedup_peak_15"
"16","chr1",199213,199353,141,199328,17,8.54276,4.54905,6.15026,"Ind1_75DA24h_dedup_peak_16"
"17","chr1",199524,199634,111,199567,22,12.92235,5.86811,10.28974,"Ind1_75DA24h_dedup_peak_17"
"18","chr1",199723,200189,467,199895,47,40.02558,12.25819,36.4447,"Ind1_75DA24h_dedup_peak_18"
"19","chr1",267967,268084,118,268042,13,13.28104,8.17005,10.62387,"Ind1_75DA24h_dedup_peak_19"
"20","chr1",368806,369989,1184,369282,21,19.77898,9.9833,16.8514,"Ind1_75DA24h_dedup_peak_20"
"21","chr1",381274,381440,167,381305,7,4.40414,3.61801,2.36897,"Ind1_75DA24h_dedup_peak_21"
"22","chr1",381970,382627,658,382464,15,12.74822,7.39863,10.12296,"Ind1_75DA24h_dedup_peak_22"
