Geneid	B_DNR_24	B_DNR_3	B_DOX_3	B_EPI_24	B_EPI_3	B_MTX_24	B_VEH_24	B_VEH_3	A_DNR_24	A_DNR_3	A_DOX_24	A_DOX_3	A_MTX_24	A_MTX_3	A_VEH_24	A_VEH_3	C_DNR_24	C_DNR_3	C_DOX_24	C_EPI_24	C_EPI_3	C_MTX_24	C_MTX_3	C_VEH_24	C_VEH_3
chr1.632859.633563	4	4	0	0	7	4	1	7	5	2	5	3	4	3	5	0	3	1	7	3	2	4	8	1	1
chr1.778314.779281	17	14	12	5	3	12	1	11	10	8	6	4	29	13	26	8	5	4	19	10	4	3	9	17	2
chr1.998953.1001296	22	48	37	16	11	24	9	36	30	9	17	14	52	22	42	18	12	8	19	8	4	4	12	25	9
chr1.1004520.1006056	9	7	6	11	6	18	7	23	7	7	4	5	29	4	42	18	4	4	11	4	7	6	9	40	4
chr1.1019367.1021991	51	50	36	21	14	29	8	33	28	16	29	18	53	32	49	19	21	8	50	9	12	14	19	35	6
chr1.1024554.1025391	17	10	5	4	3	12	4	9	6	2	4	2	10	5	15	7	3	2	14	5	4	6	3	7	3
chr1.1079476.1080507	16	17	11	2	1	28	3	14	4	3	5	3	24	5	29	9	10	2	15	6	3	8	7	20	2
chr1.1230663.1232629	37	38	34	14	4	26	7	24	22	14	14	9	50	18	41	29	11	5	31	14	11	10	22	41	8
chr1.1264653.1265715	28	8	7	5	0	14	3	18	5	8	3	4	17	11	18	16	4	4	21	8	1	7	18	19	3
chr1.1272894.1274563	44	29	39	16	13	11	5	24	27	17	24	19	32	18	43	12	21	8	28	13	7	12	14	41	5
chr1.1307293.1309390	26	26	21	14	7	13	4	15	17	11	16	6	37	15	30	8	9	12	11	5	2	5	14	32	0
chr1.1324229.1325527	26	29	33	6	6	16	4	22	25	11	10	7	29	19	29	19	8	4	23	5	5	2	14	34	6
chr1.1347782.1349961	17	35	25	11	1	11	6	25	12	14	19	8	40	9	38	12	9	5	14	9	10	8	15	27	7
chr1.1374687.1375810	11	28	20	4	6	23	8	24	14	7	11	7	21	14	21	15	8	4	22	7	4	4	7	26	9
chr1.1398577.1400659	31	53	41	18	13	24	7	26	21	29	26	14	39	17	46	16	10	9	28	8	8	8	12	35	2
chr1.1406563.1407944	13	29	15	9	5	15	3	11	11	9	11	5	22	4	22	10	7	8	17	13	10	8	10	12	2
chr1.1511390.1512209	14	15	24	6	2	13	3	10	12	11	6	6	16	10	18	6	8	1	8	8	2	8	8	18	3
chr1.1573888.1575504	32	40	45	12	12	16	3	15	18	17	13	10	41	21	33	23	12	4	27	5	11	2	16	38	7
chr1.1614893.1617117	48	68	45	16	12	31	11	30	25	17	28	15	58	15	49	19	26	5	38	8	5	13	16	43	7
chr1.1624714.1626013	5	11	9	2	1	15	6	14	8	10	8	0	23	8	29	7	2	2	9	6	3	7	4	30	3
chr1.1723973.1724836	11	12	14	3	4	12	3	11	8	9	2	5	12	3	26	10	6	3	9	7	5	3	4	15	1
chr1.1777644.1779045	20	27	23	8	4	16	4	16	16	15	9	3	33	9	23	8	7	9	21	7	1	3	9	13	0
chr1.1889404.1892325	63	107	62	20	16	42	11	43	34	27	31	24	97	43	60	31	25	17	45	15	12	13	31	44	11
chr1.1908290.1909438	22	13	15	4	6	17	3	11	7	3	17	6	28	10	35	6	8	5	11	3	4	4	6	15	2
chr1.1919107.1920164	27	19	11	19	4	9	5	22	13	7	13	7	28	21	30	15	12	2	21	12	2	10	8	25	5
chr1.2049658.2050904	7	13	7	7	3	18	2	23	3	4	4	4	23	5	20	9	4	2	12	2	3	6	5	16	3
chr1.2104353.2105397	11	7	7	4	1	15	8	21	3	0	4	1	21	9	24	11	2	1	15	3	4	4	16	27	5
chr1.2133170.2133980	25	13	14	7	2	15	5	15	7	2	4	6	19	16	43	14	7	1	15	8	4	8	11	29	6
chr1.2135035.2136217	12	11	13	8	2	23	7	17	10	4	3	8	36	11	49	19	0	3	15	8	7	5	10	39	9
chr1.2189427.2190229	15	12	3	5	3	8	4	9	3	4	10	2	19	3	20	10	2	1	9	5	1	9	6	10	5
chr1.2193999.2195640	16	15	18	4	5	22	8	15	17	14	14	5	31	7	43	20	8	4	23	10	6	4	13	31	1
chr1.2212183.2213752	31	15	17	7	7	39	7	21	10	7	11	5	43	11	38	13	9	2	23	14	7	11	12	33	6
chr1.2213837.2215326	16	5	12	5	2	17	7	26	8	6	4	4	19	13	35	17	1	1	9	8	3	4	10	29	10
chr1.2226580.2228340	44	32	29	8	11	25	5	21	20	11	12	7	44	19	46	20	8	9	38	16	2	10	13	45	5
chr1.2228794.2230628	24	24	19	13	6	12	8	14	22	23	21	3	21	10	25	10	9	4	24	12	6	11	3	23	5
chr1.2270670.2271233	6	5	4	5	2	6	1	7	2	3	6	2	17	6	13	9	3	1	5	2	1	2	3	9	2
chr1.2313888.2317202	26	19	19	9	3	38	9	27	11	12	11	16	50	25	59	23	7	12	41	13	8	9	23	63	9
chr1.2329998.2331434	8	6	6	3	1	12	2	16	5	6	2	0	14	9	20	12	2	7	27	8	1	6	17	31	5
chr1.2391271.2392593	24	19	18	1	12	18	4	13	15	9	8	4	23	11	26	9	9	3	17	8	0	2	6	18	2
chr1.2411839.2413080	23	17	17	4	4	18	7	14	12	8	9	3	25	21	30	10	8	4	15	15	5	11	14	14	4
chr1.3067985.3073149	78	34	37	28	14	29	10	43	28	28	24	19	75	20	60	47	29	7	85	29	19	18	29	68	20
chr1.3170183.3171800	58	11	23	21	5	24	10	16	20	12	13	11	38	29	40	17	14	5	57	28	14	10	19	55	13
chr1.3291840.3293572	36	18	10	12	2	19	5	20	9	8	4	11	39	11	34	20	9	0	45	18	4	4	13	34	6
chr1.3312318.3314317	24	15	16	13	3	33	10	27	15	3	5	8	35	18	42	24	15	2	31	23	3	16	17	36	3
chr1.3327810.3328958	6	4	3	0	1	6	5	9	3	3	2	3	18	6	28	10	0	2	11	4	1	6	12	21	4
chr1.3329194.3330574	9	5	4	5	1	10	5	10	8	5	2	7	20	7	33	14	4	2	12	4	8	2	12	32	4
chr1.3347252.3350255	40	21	32	15	7	48	21	41	23	7	18	17	81	36	103	42	6	4	51	30	18	9	28	102	11
chr1.3350259.3351446	14	12	9	2	1	7	8	6	14	5	8	3	20	7	31	8	1	4	15	4	5	5	10	25	1
chr1.3351942.3353766	29	12	8	7	5	18	10	18	9	9	8	6	20	15	35	24	4	2	18	10	3	7	6	33	7
chr1.3393136.3394618	21	11	11	10	1	18	4	14	8	4	9	8	37	6	47	12	6	4	25	13	11	8	12	32	4
chr1.3423098.3423747	12	3	1	4	1	15	4	11	4	0	7	2	22	8	19	7	1	1	8	3	4	5	9	19	6
chr1.3542877.3543880	3	3	9	4	2	8	2	14	1	4	5	3	10	5	21	16	1	1	12	1	1	4	5	21	4
chr1.3624190.3625835	22	22	15	8	3	16	7	18	8	8	11	5	27	8	32	9	3	3	16	5	4	11	6	25	3
chr1.3772178.3773144	8	8	7	5	3	18	2	18	10	0	6	5	23	7	28	13	3	6	15	4	3	6	10	28	4
chr1.3795629.3796684	15	28	21	6	5	15	2	18	9	11	6	6	17	9	29	3	7	4	9	5	6	3	6	19	4
chr1.3856613.3857650	36	34	22	8	3	17	8	13	8	13	5	9	36	14	29	14	12	5	20	14	2	12	11	25	3
chr1.3899449.3901494	26	61	50	12	13	30	8	36	26	19	9	25	81	32	75	29	16	4	43	16	8	12	32	63	13
chr1.4605037.4605968	10	14	15	9	5	18	4	13	1	2	1	3	1	1	1	0	1	3	7	4	3	3	5	18	3
chr1.5991893.5992657	7	12	19	9	5	10	1	15	9	4	2	5	20	6	22	2	4	2	8	15	2	7	6	17	6
chr1.6198593.6200250	47	35	35	24	8	21	2	27	35	24	16	15	45	12	47	21	11	7	18	15	8	1	18	47	10
chr1.6204868.6208050	46	58	63	12	19	35	15	54	21	32	18	18	120	41	105	45	14	11	29	16	16	18	35	97	18
chr1.6224397.6225838	34	8	13	2	2	12	3	15	14	6	9	5	21	18	26	11	9	1	17	8	3	5	11	17	8
chr1.6275892.6276727	14	8	7	3	3	14	4	10	7	3	2	2	30	5	30	14	5	0	13	5	1	3	13	27	1
