time,peak,med_24h_lfc
24 hours,chr19.9791533.9793252,-1.655739538951627
24 hours,chr20.32561936.32562892,-2.2142027576895367
24 hours,chr5.149422493.149423321,-2.2527017332076515
24 hours,chr10.72331769.72332348,-2.4396222236636795
24 hours,chr11.76577027.76577716,-2.000243361358239
24 hours,chr20.62376186.62376887,-2.1361189345046
24 hours,chr2.240232826.240234387,-1.4371576946306375
24 hours,chr1.2135358.2135937,-1.5862789663324701
24 hours,chr12.6764026.6764748,-2.111456737293212
24 hours,chr1.153612648.153613242,-2.315171157657875
24 hours,chr22.27662526.27663278,-2.475853347113063
24 hours,chr19.55563157.55563622,-2.979872344026366
24 hours,chr8.101245148.101246073,2.8605169688539456
24 hours,chr9.120402903.120403688,2.665837249634017
24 hours,chr1.39154483.39155216,1.8284201953289738
24 hours,chr19.16896515.16897955,-1.6083163359091417
24 hours,chr20.32474517.32476208,-1.209325344573326
24 hours,chr5.159510177.159510829,-3.183596556849918
24 hours,chr19.46300600.46301262,-2.77980373800187
24 hours,chr2.19228200.19229273,2.4089308538014382
24 hours,chr14.77795509.77796452,2.385349267817022
24 hours,chr5.71906873.71908134,1.6326427518370474
24 hours,chr9.130535830.130536607,-1.8045126550719925
24 hours,chr15.66763162.66764058,-2.6175229672277216
24 hours,chr19.518179.518694,-3.2635209977417183
24 hours,chr14.76768188.76768850,-2.722153274592508
24 hours,chr17.62791841.62792775,1.934965175575632
24 hours,chr10.70584818.70585814,-2.745566022141785
24 hours,chr11.73314382.73315120,-1.5309092086606624
24 hours,chr7.539791.540285,-1.938586061889899
24 hours,chr1.203440255.203441542,-1.428234360467278
24 hours,chr1.224503263.224503966,-1.6292250523558471
24 hours,chr11.1437365.1438018,-1.769829669070813
24 hours,chr8.22178689.22179554,-1.882216284132733
24 hours,chr11.46697154.46697861,-3.2259006257330167
24 hours,chr11.126113493.126114034,-2.5051372067345694
24 hours,chr17.3048607.3049451,-1.5289422680499785
24 hours,chr6.40996628.40997920,1.728966755997872
24 hours,chr19.6516008.6517571,-1.4123445957439573
24 hours,chr19.35740378.35741229,-0.785481799099542
24 hours,chr1.173637405.173638454,1.9194942246952058
24 hours,chr9.115262432.115263218,-2.425008870034482
24 hours,chr13.42696147.42696840,2.21537156087178
24 hours,chr19.5090780.5091652,-1.7348180298644453
24 hours,chr17.19317125.19317743,-1.5057585845876376
24 hours,chr1.201896856.201897550,-2.362693086658884
24 hours,chr6.35490033.35491036,-1.6281847532991436
24 hours,chr19.3403869.3404977,-2.273282629223798
24 hours,chr14.56487406.56488135,2.9032197274759826
24 hours,chr19.48780644.48781392,2.1859784887229243
24 hours,chr9.136571752.136573289,-1.8530332858320246
24 hours,chr19.45764643.45765321,-2.3158412621537305
24 hours,chr17.40344902.40345855,-0.9919107108088463
24 hours,chr19.38387358.38388630,-1.0116984384212397
24 hours,chr18.5582641.5583434,1.9186084835813961
24 hours,chr19.1275175.1276238,-1.4817594485701493
24 hours,chrX.133229042.133229984,2.477730839249622
24 hours,chr10.132418727.132419238,-1.9621026634649237
24 hours,chrX.154531573.154532223,-1.5193264785280736
24 hours,chr15.45048477.45049568,1.9139469397602946
24 hours,chrX.2928106.2929690,-0.9742735517826775
24 hours,chr11.64759123.64760574,-2.0023668439609232
24 hours,chr1.154418123.154418661,2.103140460582696
24 hours,chr4.26105738.26106389,2.1892547171914822
24 hours,chr3.38543434.38544121,-3.2897283143003904
24 hours,chr12.6613803.6614520,-1.8135747658607566
24 hours,chr5.141915708.141916228,-2.95592442268568
24 hours,chr3.11185562.11186096,-2.3417128351594494
24 hours,chr7.149719033.149719717,2.2750857949711305
24 hours,chr22.43103708.43104624,1.5011123969080047
24 hours,chr20.63834993.63835504,-1.6746360294392595
24 hours,chr14.69658428.69659075,2.6204448827415776
24 hours,chr17.3870820.3871407,-1.8759202123677592
24 hours,chr1.2199219.2199726,-1.9095162993426484
24 hours,chr17.2396681.2397156,-1.0751507306260235
24 hours,chr11.19244522.19245025,2.2195071217315374
24 hours,chr5.36657514.36658279,2.3928605441907145
24 hours,chr3.72821985.72822600,2.622977954428635
24 hours,chr1.112524163.112525151,-2.3273458573335613
24 hours,chr12.132286263.132286828,-2.4091253572118063
24 hours,chr6.48979734.48980268,-2.947528839298286
24 hours,chr4.7948814.7949669,-2.229365598627295
24 hours,chr11.69497048.69497793,-1.3580218651536633
24 hours,chr2.231665923.231667317,-1.6733596619726008
24 hours,chr19.38229609.38230177,-1.5178050128223304
24 hours,chr1.183812628.183813500,1.196384015865151
24 hours,chr5.149455926.149456407,1.8431285516461784
24 hours,chr19.10206114.10206713,2.4142841101173422
24 hours,chr15.63072786.63074229,-1.7158515059368709
24 hours,chr7.149771654.149772137,-1.6091387742227883
24 hours,chr17.3643829.3644316,2.930188318864399
24 hours,chr8.124271349.124272249,1.9640661005159545
24 hours,chr19.50508491.50509048,-1.8677196602008856
24 hours,chr14.76772505.76773251,-1.4082749319373855
24 hours,chr9.36163091.36163941,-2.1775345532166273
24 hours,chr22.50293017.50294108,-1.3842009154518502
24 hours,chr19.45455475.45456502,-1.5204567280912054
24 hours,chr4.174681617.174682250,2.120591809614856
24 hours,chr19.3970511.3971472,-1.0377617643005106
24 hours,chr19.40341590.40342269,-2.020985923821678
24 hours,chr5.149423753.149424869,-2.508292391815846
24 hours,chr22.27669300.27669988,-1.7569847184181762
24 hours,chr16.59632010.59632942,1.5865358863473582
24 hours,chr3.60086726.60087285,2.873540140808538
24 hours,chr5.19624410.19625183,-2.271533114229295
24 hours,chr1.109931097.109931577,-1.847801086524964
24 hours,chrX.69097234.69098010,1.8069329732548907
24 hours,chr14.105470951.105472044,-1.5997283955234733
24 hours,chrX.137031299.137032700,1.55790112719742
24 hours,chr1.87794964.87795865,1.6063916785922063
24 hours,chr1.203508331.203508970,-2.3460019959726948
24 hours,chr12.66859554.66860865,1.7380377855592541
24 hours,chr9.93223178.93224028,-2.0595247059537574
24 hours,chr9.591310.591855,-2.431592097636561
24 hours,chr1.27117677.27118259,1.723340567500113
24 hours,chr13.112885702.112886360,-1.4980546504193413
24 hours,chr11.8688622.8689283,-0.8533507052377747
24 hours,chr6.170129696.170130368,-1.689705945726772
24 hours,chr6.140043336.140044423,2.4179875729734848
24 hours,chr10.97788741.97789458,-2.087005073928745
24 hours,chr6.15735520.15736552,1.2454690960175245
24 hours,chr20.50870544.50871549,-1.990702566807471
24 hours,chr5.138953126.138953919,-2.2185213810095257
24 hours,chr12.124531044.124531752,-2.5995410132791332
24 hours,chr2.241609836.241610880,-1.1454736515591941
24 hours,chr1.232538047.232539145,1.7499836635514523
24 hours,chr17.74037312.74037693,-3.165029612002699
24 hours,chr2.54639683.54640263,2.077127184010978
24 hours,chr1.41109060.41110221,2.1798314302217445
24 hours,chr12.121214481.121215498,1.8176219977163695
24 hours,chr7.901290.902014,-2.1953739666767342
24 hours,chr19.11539744.11540628,-1.7702243811536666
24 hours,chr4.6916422.6917389,1.594948759430006
24 hours,chr1.204733818.204734538,-2.773956563550301
24 hours,chr6.71367637.71368062,2.666672801330257
