"","chr","start","end","length","abs_summit","pileup","-log10(pvalue)","fold_enrichment","-log10(qvalue)","name"
"1","chr1",10028,10466,439,10190,74,86.95653,24.62409,81.67837,"NA_peak_1"
"2","chr1",29008,29608,601,29337,9,7.14363,5.1203,4.15213,"NA_peak_2"
"3","chr1",136827,136959,133,136837,7,6.29931,4.81709,3.38583,"NA_peak_3"
"4","chr1",180749,180997,249,180901,24,22.865,10.858,18.91676,"NA_peak_4"
"5","chr1",199631,200090,460,199897,19,20.07373,10.76594,16.25657,"NA_peak_5"
"6","chr1",381243,381514,272,381397,5,5.06487,4.11679,2.30024,"NA_peak_6"
"7","chr1",597961,598670,710,598251,8,8.95406,6.25702,5.79823,"NA_peak_7"
"8","chr1",610311,610500,190,610438,5,4.34677,3.71223,1.72337,"NA_peak_8"
"9","chr1",611724,611968,245,611895,6,5.2663,4.24745,2.48098,"NA_peak_9"
"10","chr1",629121,630012,892,629797,7464,2714.06128,5.16749,2707.26953,"NA_peak_10"
"11","chr1",630258,630465,208,630388,3232,346.04099,2.20698,340.20114,"NA_peak_11"
"12","chr1",630770,631376,607,631130,6709,2160.57666,4.58051,2154.08252,"NA_peak_12"
"13","chr1",631874,632958,1085,632053,9472,4206.46875,6.46681,4198.92139,"NA_peak_13"
"14","chr1",633741,634886,1146,634034,7976,3047.29541,5.44532,3040.3418,"NA_peak_14"
"15","chr1",669288,669627,340,669562,6,7.42378,5.36218,4.3972,"NA_peak_15"
"16","chr1",778433,779038,606,778749,25,28.94305,14.14081,24.73621,"NA_peak_16"
"17","chr1",790597,790984,388,790951,11,13.37763,8.45472,9.92097,"NA_peak_17"
"18","chr1",827413,827867,455,827646,10,9.16271,6.21904,5.9923,"NA_peak_18"
"19","chr1",869823,869986,164,869894,10,11.58355,7.5805,8.23999,"NA_peak_19"
"20","chr1",904452,904830,379,904753,11,10.60818,6.93384,7.32971,"NA_peak_20"
"21","chr1",911246,911379,134,911331,6,4.93268,4.04474,2.18315,"NA_peak_21"
"22","chr1",959249,959408,160,959257,7,5.81464,4.52294,2.96712,"NA_peak_22"
"23","chr1",1000086,1000451,366,1000169,16,11.75799,6.5518,8.40359,"NA_peak_23"
"24","chr1",1001866,1002038,173,1001945,11,6.56893,4.42957,3.63147,"NA_peak_24"
"25","chr1",1013366,1013574,209,1013387,7,6.62621,5.0087,3.68273,"NA_peak_25"
"26","chr1",1021186,1021339,154,1021213,10,6.91792,4.8174,3.9465,"NA_peak_26"
"27","chr1",1030816,1030994,179,1030989,9,5.0852,3.80739,2.31917,"NA_peak_27"
"28","chr1",1033132,1033262,131,1033166,11,6.72359,4.52508,3.7713,"NA_peak_28"
"29","chr1",1040724,1040896,173,1040842,15,13.54024,7.88468,10.07286,"NA_peak_29"
"30","chr1",1078315,1078611,297,1078449,14,7.73218,4.60764,4.68033,"NA_peak_30"
"31","chr1",1079033,1079361,329,1079114,17,10.53055,5.61687,7.2574,"NA_peak_31"
"32","chr1",1079663,1079942,280,1079743,19,12.5192,6.29085,9.11481,"NA_peak_32"
"33","chr1",1080127,1080351,225,1080305,12,6.39757,4.16395,3.47631,"NA_peak_33"
"34","chr1",1108345,1108526,182,1108496,7,7.07148,5.25977,4.08574,"NA_peak_34"
"35","chr1",1116083,1116480,398,1116251,21,20.39587,10.35512,16.56314,"NA_peak_35"
"36","chr1",1122031,1122325,295,1122306,10,9.71489,6.54834,6.50366,"NA_peak_36"
"37","chr1",1201910,1202393,484,1202034,15,12.71231,7.37658,9.29553,"NA_peak_37"
"38","chr1",1231896,1232221,326,1232092,23,22.98154,11.26281,19.0277,"NA_peak_38"
"39","chr1",1249285,1249521,237,1249357,9,7.68451,5.45763,4.6377,"NA_peak_39"
"40","chr1",1265299,1265539,241,1265406,7,6.95395,5.19467,3.98002,"NA_peak_40"
"41","chr1",1273637,1274233,597,1273867,8,7.29922,5.33754,4.29369,"NA_peak_41"
